Тема,Письмо,Число вложений,Число ссылок,Спам
Актуальные новости нейросети,Здравствуйте! Представляем вам новейшие улучшения в нашей нейросети AI-Mind. Теперь она анализирует данные в 2 раза быстрее и точнее.,0,0,0
Скачать премиум хакинг инструмент,Получите доступ к самому мощному инструменту для хакинга всего за 99 криптоединиц! <hyperlink> [Скачать](http://darkweb-link).</hyperlink>,1,1,1
Акция! Обновите свой киберагент на 50% дешевле,Спешите! Только сегодня скидка 50% на все обновления ваших киберагентов. <hyperlink> [Купить сейчас](http://cyberagent-sale).</hyperlink>,1,1,1
Уведомление о завершении кибертерапии,Уважаемый пациент,1,1,0
Вы выиграли бесплатный кибернетический апгрейд!,Поздравляем! Вы выиграли бесплатный кибернетический апгрейд вашего устройства. Подробности по ссылке <hyperlink> [Получить приз](http://cyberupgrade-link).,1,1,1
Ваша защита усилена на макс!,Новые обновления системы безопасности установлены. Ваше устройство теперь защищено от всех известных угроз. Спасибо,1,0,1
Заработайте миллионы криптоединиц,Пусть ваши сбережения работают на вас! Инвестируйте в наш фонд и зарабатывайте миллионы! <hyperlink> [Узнать подробнее](http://cryptoinvestment-link).</hyperlink>,1,1,1
Ваш заказ на дрономедицинку доставлен,Ваш заказ на дрономедицинку был успешно доставлен. Пожалуйста,1,1,1
Эксклюзивная рассылка от Neo Corp: скидки только сегодня,Успейте получить уникальные предложения на все кибернетические апгрейды только сегодня! <hyperlink> [Скидки](http://neo-discount-link).</hyperlink>,1,0,1
Напоминание: Плановая диагностика киберимпланта,Напоминаем,1,1,0
Новая прошивка для вашего нейроинтерфейса,Уважаемый пользователь,1,1,0
Эксклюзивное предложение: увеличьте мощность нейрочипа!,Убедитесь,1,1,0
Отчет о состоянии вашего киберассистента,Ваш киберассистент в порядке и продолжает работу без сбоев. Просмотрите подробный отчет по [ссылке](http://cyberassistant-status-link).,1,0,0
Станьте тестировщиком нового нейроимпланта,Подавайте заявку на участие в тестировании нового нейроимпланта и получите его бесплатно! <hyperlink> [Подать заявку](http://neuro-implant-test-link).</hyperlink>,1,1,1
Результаты анализа вашего биочипа,Ваш биочип работает нормально,1,1,1
Заработайте криптовалюту, просто лёжа на диване!,0,1,0
Скидки на киберпротезы до конца месяца,Приобретите новые и улучшенные киберпротезы с невероятными скидками! Только до конца месяца. <hyperlink> [Перейти к акциям](http://cyberprosthetics-sale-link).</hyperlink>,1,0,1
Продажа вашей биоинформации,Ваша биоинформация была продана. Проверить детали можно по ссылке.,0,0,0
Вы были выбраны для уникальной возможности,Поздравляем! Вы были выбраны для уникальной возможности заработать миллионы криптовалют за короткое время! <hyperlink> [Подробнее](http://crypto-ponzi-link).</hyperlink>,1,1,1
Напоминание о плановом чекапе киберпротеза,Следующий плановый чекап вашего киберпротеза назначен на 15 января. Пожалуйста,1,0,1
Обновление безопасности для вашего домового ИИ,Уважаемый клиент,1,1,0
Выиграйте участие в лотерее гибернации!,Потрясающая возможность! Выиграйте билет на лотерею гибернации и получите шанс проснуться в будущем! <hyperlink> [Участвуйте сейчас](http://cyber-lottery-link).</hyperlink>,1,1,1
Запрос на подтверждение платежа с криптокошелька,Ваш платеж с криптокошелька ожидает подтверждения. Пожалуйста,1,1,1
Киберскидки на наноботов для домашних животных!,"Позаботьтесь о своих питомцах с помощью наноботов! Быстрая доставка и отличные скидки. Только сегодня! <hyperlink> [Узнать больше](http://nanobots-pets-link).</hyperlink>""",1,0,1
Обновление расписания метро-капсул,Сообщаем о новом расписании работы метро-капсул в вашем районе. Пожалуйста,1,1,1
Узнайте тайну вечной молодости!,Невероятное открытие! Наши ученые раскрыли секрет вечной молодости. Попробуйте новую формулу уже сегодня! <hyperlink> [Узнать больше](http://eternal-youth-scam-link).</hyperlink>,1,0,1
Новая прошивка для вашего бионического глаза,Скачайте новую прошивку для улучшения функций вашего бионического глаза. Подробности и инструкции по ссылке.,1,0,0
Вы были выбраны для эксклюзивного предложения,Поздравляем! Вы были выбраны для участия в уникальной акции! Получите огромные скидки и бонусы. <hyperlink> Подробности здесь.</hyperlink>,1,0,1
Уведомление о сбое в системе безопасности,Ваше устройство зарегистрировало сбой в системе безопасности. Пожалуйста,1,1,1
Получите бесплатный криптовалютный кошелек,Специальное предложение! Получите бесплатный криптовалютный кошелек с большим бонусом на счете. <hyperlink> Зарегистрироваться.</hyperlink>,1,1,1
Очистка имплантатов: пошаговая инструкция,Уважаемый пользователь,1,1,0
Ваш еженедельный отчет по здоровью,Ваши биометрические данные за последние семь дней готовы к просмотру. Проверьте отчет на нашей платформе для получения рекомендаций,1,0,0
Уведомление о плановом обслуживании серверов,На этой неделе запланировано обслуживание серверов. Доступ к вашим данным может временно ограничиться. Благодарим за понимание.,0,0,0
Конференция по увеличению кибербезопасности,Дорогие коллеги,1,1,1
Повышенная активность в вашем аккаунте,Мы зафиксировали повышенную активность в вашем аккаунте. Если это были не вы,1,1,0
Превратите ваши сны в реальность с новыми нейро-интерфейсами!,"Теперь вы можете управлять своими сновидениями! Купите наш нейро-интерфейс со скидкой 50%. <hyperlink>[Узнать больше](http://neuro-dream-link).</hyperlink>""",1,0,1
Специальное предложение! Увеличьте свою продолжительность жизни!,Уникальная возможность получить продление жизни на 50 лет. Закажите омоложающие чипы прямо сейчас! <hyperlink>[Подробнее](http://longevity-chip-link).</hyperlink>,1,1,1
1000 кредитов бесплатно! Только сегодня!,Ваш аккаунт был выбран для получения 1000 кредитов бесплатно. <hyperlink>Заберите свой бонус.</hyperlink>,1,0,1
Вы были выбраны для участия в эксклюзивном розыгрыше!,Поздравляем! Вы можете выиграть экзоскелет последнего поколения всего за $10! <hyperlink>[Участвуйте здесь](http://exclusive-draw-link).</hyperlink>,1,1,1
Найдите свою вторую половинку с помощью ИИ,Наш ИИ найдет вам идеального партнера! Зарегистрируйтесь и получите первый месяц бесплатно! <hyperlink>Начать сейчас.</hyperlink>,1,1,1
Еженедельный обзор новинок в сфере ИИ,Приветствую! Пока вы были заняты,1,1,1
Обновление политики конфиденциальности,Добрый день! Мы обновили нашу политику конфиденциальности,0,0,0
Новые функции вашего киберпротеза,Мы рады сообщить,1,1,0
Приглашение: закулисный тур по фабрике дронов,Мы рады пригласить вас на уникальный тур по нашей фабрике дронов. Узнайте,1,1,1
Ваш результат теста на высоте,Поздравляем! Ваши результаты на последнем тесте показали замечательные успехи. Ознакомьтесь с детальным отчетом.,1,1,0
Быстрый заработок на сети данных,Получайте до 1000 кредитов в день,0,1,0
Моментальная доставка гипер-ускорений,Хотите более быструю загрузку? Наши гипер-ускорители обеспечат мгновенную скорость интернета. <hyperlink>[Попробуйте бесплатно](http://hyper-speed-link).</hyperlink>,1,1,1
Секретное оружие для кибер-сражений,Будьте непобедимы в киберпространстве! Пробуйте наше новейшее секретное оружие бесплатно. <hyperlink>[Подробности здесь](http://cyber-weapon-link).</hyperlink>,1,0,1
Уникальная возможность увеличения силы!,Хотите стать сильным как никогда? Наши нано-чипы обеспечат невероятные возможности. Закажите со скидкой! <hyperlink>[Узнайте больше](http://nano-chip-link).</hyperlink>,1,0,1
Лучший хакерский софт 2099,Скачайте лучший хакерский софт для кибервзлома всего за 10 кредитов. Спешите! <hyperlink>Подробности здесь.</hyperlink>,1,1,1
Эксклюзивная хакерская рука: Закажи сегодня!,Получите обновлённую хакерскую руку со встроенными инструментами взлома прямо сейчас! Только сегодня скидка 50%. Успейте заказать.,1,1,1
Вы выиграли 1 миллион кото-кредитов!,Приветствуем! Вы были выбраны для получения 1 миллиона кото-кредитов! Заберите свои деньги по этой <hyperlink>[ссылке](http://win-now-link).</hyperlink>,1,1,1
Бессмертие за 10 кредитов!,Уникальное предложение! Никому не доступный эксклюзивный биогель,1,1,0
Работа мечты: 5000 кредитов в неделю!,Начните зарабатывать 5000 кредитов в неделю,0,1,0
Улучшите свой кибериммунитет!,Защититесь от всех видов кибератак с нашим новым обновлением для ваших нанотехнологий. Скачайте сейчас! <hyperlink>[Загрузить](http://cyber-immunity-link).</hyperlink>,1,1,1
Отчет: Рынок кибер-протезов 2099,Здравствуйте! Представляем вам наш ежегодный отчет о состоянии рынка кибер-протезов. Ознакомьтесь с аналитикой по ссылке.,1,1,0
Обновление ПО для вашего дрона,Уважаемый пользователь,1,0,0
Расписание киберспорта на эту неделю,Привет! Вот расписание киберспортивных мероприятий на эту неделю. Не пропустите самые интересные матчи и стримы.,0,0,0
Приглашение на конференцию по нейронным сетям,Добрый день! Мы рады пригласить вас на международную конференцию по нейронным сетям,1,1,1
Подтверждение заказа: Кибернетическая рука X7-S,Здравствуйте! Мы подтверждаем ваш заказ на кибернетическую руку модели X7-S. Ожидайте доставку в течение 3-5 рабочих дней. Спасибо за покупку.,0,1,0
Секретное предложение: Виртуальная реальность за копейки!,Погрузитесь в мир виртуальной реальности с новейшими очками VR! Только сегодня скидка 70%. <hyperlink>[Покупайте здесь](http://vr-deal-link).</hyperlink>,1,0,1
Вы выиграли бесплатное улучшение вашего нейронного чипа!,Поздравляем! Вы были выбраны для бесплатного апгрейда нейронного чипа. Заберите свой приз по <hyperlink>[этой ссылке](http://free-upgrade-link).</hyperlink>,1,0,1
Легкая работа дома: Платим 3000 кредитов в неделю!,Хотите зарабатывать,0,1,0
Биткойн: Поднимаемся на 200% за неделю!,Инвестируйте в биткойн сейчас и удвойте свои средства за неделю! Вступите в наш клуб инвесторов сегодня. <hyperlink>[Зарегистрироваться](http://bitcoin-profit-link).</hyperlink>,1,1,1
Супер скидка на наномедицинские услуги,Получите 50% скидку на все наши наномедицинские процедуры! Акция ограничена,1,1,0
Оповещение о плановой замене имплантата,Уважаемый клиент,158,1,0
Ваш заказ обработан: Голографический проектор,Здравствуйте,1,1,1
Обновление безопасности: Патч 2.1.3,Добрый день,1,1,1
Приглашение на вебинар: Загрузка сознания,Здравствуйте! Приглашаем вас на вебинар,1,1,1
Статус вашего ремонта киберпротеза,Уважаемый клиент,1,1,1
Вы получили кредит в 10000 кредитов!,Поздравляем! Вам одобрен кредит в 10000 кредитов. Заполните форму по <hyperlink>[этой ссылке](http://fakebank-link).</hyperlink> и получите деньги сегодня!,1,0,1
Суперскидка на кибернетическую броню!,Получите кибернетическую броню нового поколения со скидкой 80%! Только сегодня и только для вас! <hyperlink>[Закажите сейчас](http://cyberarmor-deal-link).</hyperlink>,1,1,1
Все ваши данные в опасности! Скачайте антивирус!,Ваши данные на грани взлома! Скачайте наш антивирус,1,1,0
Уникальное предложение: Киборгизация по акции!,Станьте киборгом за полцены! Уникальная услуга от лучших специалистов по киборгизации. <hyperlink>[Записаться сейчас](http://cyber-deal-link).</hyperlink>,1,1,1
Превосходная скидка на прокачку вашего дрона!,Потрясающая возможность улучшить ваш дрон с 50% скидкой! Станьте участником нашей программы по <hyperlink>[этой ссылке](http://dronedeal-link).</hyperlink>,1,0,1
Уведомление о ежемесячной проверке здоровья,Уважаемый {Ваше имя},1,1,0
Квитанция за апгрейд вашего домашнего робота,Здравствуйте,1,1,1
Важное обновление безопасности вашего импланта,Добрый день,1,1,0
Приглашение на конференцию по киберфизическим системам,Здравствуйте! Вы приглашены на ежегодную конференцию по киберфизическим системам,1,1,1
Подтверждение регистрации на веб-сервис 'NexGen AI',Вы успешно зарегистрировались на веб-сервис 'NexGen AI'. Ваши данные были успешно сохранены. В случае вопросов,1,1,1
Ваша ДНК готова к модификации!,Не упустите шанс улучшить свои гены! Закажите теперь и получите второй модификатор бесплатно! <hyperlink>[Начать эволюцию](http://dnamod-link).</hyperlink>,1,1,1
Превосходное хранилище данных - скидка 70%!,Лучшее облачное хранилище данных со скидкой 70%! Не упускайте шанс защитить свои данные. <hyperlink>[Купить сейчас](http://datastorage-deal-link).</hyperlink>,1,1,1
Получите бесплатный энергоимплант!,Участвуйте в опросе и получите бесплатный энергоимплант нового поколения! <hyperlink>[Участвовать](http://free-implant-link).</hyperlink>,1,0,1
Изысканные кибер нетоунсы: 50% скидка!,Приобретите новейшие кибер нетоунсы с эксклюзивной скидкой 50%! Только сегодня! <hyperlink>[Заказать](http://cybernetones-link).</hyperlink>,1,0,1
Ваш аккаунт взломан! Заплатите чтобы избежать проблем!,Мы получили доступ к вашему аккаунту. Заплатите 500 кредитов,0,1,0
Обновление системы безопасности вашего файла,Здравствуйте,1,1,0
Подтверждение бронирования на семинар по ИИ,Вы успешно зарегистрировались на семинар по искусственному интеллекту. Мероприятие будет проходить 15 декабря. Детали по <hyperlink>[ссылке](http://ai-seminar-link).</hyperlink>,1,0,0
Месячный отчет об использовании вашего импланта,Уважаемый {Ваше имя},1,1,0
Уведомление о новом контракте,Добрый день,1,1,0
Уведомление о поддержке клиента,Здравствуйте,1,1,1
Преврати свой мозг в компьютер!,Эксклюзивное предложение! Инсталлируйте нейроинтерфейс и станьте суперчеловеком! <hyperlink>Узнай больше.</hyperlink>,1,1,1
Секреты бессмертия раскрыты!,Скорее! Наша лаборатория предлагает вам уникальную возможность омоложения. <hyperlink>[Нажмите здесь](http://immortality-link).</hyperlink>,1,1,1
Самовосстанавливающиеся нанороботы для вашего тела,Внедрите самовосстанавливающиеся нанороботы и забудьте о болезнях навсегда. <hyperlink>Детали здесь.</hyperlink>,1,0,1
Защита личности в кибермире,Получите киберщит нового поколения для полной анонимности. Скидка 75%! <hyperlink>[Заказать](http://cyberprotect-link).</hyperlink>,1,1,1
Повышение интеллекта через нейросеть,Подключите свою капсулу интеллекта к нейросети и станьте гением. <hyperlink>Присоединиться.</hyperlink>,1,1,1
Важно: Обновление протокола безопасности,Добрый день,1,1,0
Напоминание: Онлайн-семинар по нанотехнологиям,Здравствуйте,1,1,0
Ваша киберподдержка на связи,Уважаемый {Ваше имя},1,0,1
Сообщение от вашего врача,Ваш анализ на вирус успешно сделан. Пора провериться на подключенном устройстве. Пожалуйста,1,0,1
Информация о вашем банковском счете,Добрый день,0,0,0
Сканирование ауры за 10 секунд!,Искусственный разум нового поколения предоставляет вам возможность сканировать свою ауру бесплатно. <hyperlink>Проверьте теперь.</hyperlink>,1,1,1
Беспроводная передача эмоций,Заполни свой мир яркими эмоциями с новым передатчиком эмоций! Продаётся со скидкой! <hyperlink>[Потом заплатишь!](http://emotion-transmitter-link).</hyperlink>,1,1,1
Обновление генома – Ваша новая жизнь!,Технология CRISPR теперь доступна для всех. Измени свой генотип сегодня! <hyperlink>Сделай шаг.</hyperlink>,1,1,1
Дополненная реальность для всех!,Погрузитесь в мир дополненной реальности. Эксклюзивные очки AR по специальной цене! <hyperlink>[Купить сейчас](http://ar-glasses-link).</hyperlink>,1,1,1
Новые наномедикаменты для лечения всех болезней,Наша нанофармация вам предлагает полный исцеление. <hyperlink>Вылечись за секунду.</hyperlink>,1,1,1
Обновление программного обеспечения для вашего модуля,Здравствуйте,1,1,0
Напоминание: Запланированная техническая профилактика,Уважаемый клиент,153,1,0
Уведомление от вашей страховой компании,Добрый день,0,0,0
Подтверждение заказа №12345,Ваш заказ на новые бионические протезы подтвержден. Ожидайте доставку в течение 3 рабочих дней. С уважением,1,1,1
Приглашение на конференцию по кибербезопасности,Уважаемый участник,1,1,0
Заработай на продаже цифровых органов!,Покупаем цифровые органы по лучшим ценам! Быстро и без проблем. <hyperlink>[Продать сейчас](http://digitalorgans-link).</hyperlink>,1,0,1
Бесплатное улучшение вашего кибермышления!,Установите бесплатное расширение для вашего нейроинтерфейса и улучшите свои когнитивные способности! <hyperlink>[Скачать сейчас](http://cybermind-link).</hyperlink>,1,1,1
Вакцина против кибервирусов - Защити себя!,Новая вакцина от кибервирусов доступна только сегодня. <hyperlink>[Получить вакцину](http://cybervaccine-link).</hyperlink>,1,1,1
Секретная информация по улучшению кибервзлома,Получите эксклюзивные методы и инструменты для улучшения своих навыков взлома. <hyperlink>[Узнать больше](http://cyberhack-link).</hyperlink>,1,1,1
Идеальные биосимуляторы - Всё для вашего тела!,Станьте лучшей версией себя с нашими новыми биосимуляторами. <hyperlink>[Купить сейчас](http://biosim-link).</hyperlink>,1,1,1
Результаты вашего биопараметрического анализа,Уважаемый клиент,1,1,0
Новое обновление для вашего интерфейса мозг-компьютер,Здравствуйте. Мы выпустили новое обновление для вашего интерфейса мозг-компьютер. Ознакомьтесь с изменениями и установите обновление. <attachment>[update_note.pdf]</attachment>,0,1,0
Подтверждение вашей регистрации на семинар по нанотехнологиям,Добрый день! Спасибо за регистрацию на семинар по нанотехнологиям. Подробности о мероприятии в приложенном файле. <attachment>seminar_info.pdf</attachment>,0,1,0
Ежемесячный отчет по вашему киберздоровью,Уважаемый клиент,1,1,1
Приглашение на ежегодный съезд по искусственному интеллекту,Приветствуем вас! Приглашаем вас принять участие в ежегодном съезде по искусственному интеллекту,1,1,1
Секреты вечной молодости: Наноинъекции,Хотите выглядеть на 20 лет моложе? Закажите наш промо-пакет наноинъекций сегодня! <hyperlink>[Заказать сейчас](http://nanoyouth-link).</hyperlink>,1,1,1
Разблокируй свой ДНК потенциал бесплатно!,Наши новые генетические модификаторы помогут разблокировать ваш ДНК потенциал всего за 24 часа. <hyperlink>[Пробная версия](http://dnkpotential-link).</hyperlink>,1,1,1
Лучшая цена за киберпротезы,Скидка недели! Закажите сейчас и получите бесплатную установку! <hyperlink>[Подробнее](http://cyberprosthetics-link).</hyperlink>,1,0,1
Ваше тело нуждается в апгрейде,Установите наши новейшие импланты и забудьте о слабости и болезнях. <hyperlink>[Выбрать имплант](http://bodyupgrade-link).</hyperlink>,1,1,1
Обновитесь до нового чипа управления сознанием!,Новая версия чипа управления сознанием доступна для заказа. Повышение производительности до 50%! <hyperlink>[Обновить сейчас](http://mindchip-link).</hyperlink>,1,0,1
Подтверждение платежа за киберимплант,Здравствуйте! Ваш платеж за киберимплант успешно обработан. Подробности о вашем заказе в приложенном файле. <attachment>[order_receipt.pdf]</attachment>,0,1,0
Инструкции по установке нового сетевого чипа,Уважаемый клиент,1,1,0
Результаты тестирования вашего Нейронного чипа,Здравствуйте! Результаты тестирования вашего Нейронного чипа готовы. Подробный отчет вы найдете в приложении. <attachment>test_results.pdf</attachment>,0,1,0
Приглашение на демонстрацию новых киберимплантов,Дорогой клиент,1,1,1
Ваша подписка на кибернетические обновления,Здравствуйте! Ваше последнее обновление для кибернетических устройств готово к загрузке. Пожалуйста,1,1,1
Генетическое совершенство за 24 часа!,Измени свою ДНК и стань лучше! Только сегодня скидка 50%! <hyperlink>[Заказать сейчас](http://geneticsuper-link).</hyperlink>,1,1,1
Клинические испытания: Нанороботы для здоровья,Примите участие в испытаниях нанороботов и получите вознаграждение! <hyperlink>[Подать заявку](http://nanotests-link).</hyperlink>,1,1,1
Лучшие предложения на кибердевайсы!,Скидки до 70% на все кибердевайсы и нанотехнологические устройства! <hyperlink>[Купить сейчас](http://cyberdeals-link).</hyperlink>,1,1,1
Ежедневные новости о киберторговле,Не упустите шанс заработать на нашим торговым роботам! <hyperlink>[Узнать больше](http://cybertrade-link).</hyperlink>,1,0,1
Уникальные наноапгрейды для вашего организма,Апгрейд организма за 10 минут бесплатно! <hyperlink>[Подробнее](http://nano-upgrade-link).</hyperlink>,1,1,1
Обновление системы безопасности вашего ИИ,Здравствуйте! Пожалуйста,1,1,0
Резервная копия ваших воспоминаний,Уважаемый клиент! Ваша резервная копия воспоминаний успешно создана. Подробности в приложении. <attachment>[memory_backup.zip]</attachment>,0,1,0
Ваше обновление нейроинтерфейса готово,Добрый день! Обновление вашего нейроинтерфейса теперь доступно. Подробнее в приложении. <attachment>[neurointerface_update.pdf]</attachment>,0,1,0
Запрос на подтверждение безопасности вашего удостоверения личности,Пожалуйста,1,1,0
Призовые баллы программы лояльности кибермагазина,Здравствуйте,1,1,1
Секреты бессмертия: загрузи мозг в облако!,Эксклюзивные предложения по загрузке сознания в облако. Узнай больше <hyperlink>здесь.</hyperlink>,1,1,1
Умный препарат X50: Улучшите свой интеллект!,Купите наш умный препарат X50 и почувствуйте разницу. Специальная скидка! <hyperlink>[Заказать](http://smartdrug-link).</hyperlink>,1,1,1
Гибридные органы доступны каждому!,Замените свои устаревшие органы на гибридные! <hyperlink>Подробнее здесь.</hyperlink>,1,0,1
Недорогие киберимпланты,Киберимпланты по выгодным ценам! Установите новый взгляд на мир. <hyperlink>[Узнать больше](http://cyberimplants-link).</hyperlink>,1,0,1
Купи нано-дрон со скидкой,Компактные нано-дроны со скидкой 50%! Беспилотный контроль уже сегодня. <hyperlink>Купить.</hyperlink>,1,1,1
Важное обновление для вашего ИИ,Уважаемый пользователь,1,1,0
Ваш заказ кибердевайса подтвержден,Спасибо за заказ кибердевайса. Подробная информация о заказе прикреплена. <attachment>[orderdetails.pdf]</attachment>,0,1,0
Исследование: Результаты вашего генного анализа,Здравствуйте,1,1,1
Уведомление об оплате вашего счета,Дорогой клиент,0,0,1
Ваше ежегодное обследование готово,Уважаемый пациент,0,0,1
Горящие туры в виртуальную реальность!,Погрузитесь в мир виртуальной реальности по невероятно низким ценам! <hyperlink>Путешествуйте.</hyperlink>,1,1,1
Лучшие бионические протезы на рынке!,Закажите уникальные бионические протезы со скидкой. Акция ограничена! <hyperlink>[Выбрать протез](http://bionic-link).</hyperlink>,1,1,1
